,raw,json,bird,alternate_names,scientific_name
684,The grey-breasted babbler (Malacopteron albogulare) is a species of bird in the family Pellorneidae,"{'bird': 'grey-breasted babbler', 'alternate_names': [], 'scientific_name': 'Malacopteron albogulare'}",grey-breasted babbler,,Malacopteron albogulare
685,"The grey-breasted crake (Laterallus exilis) is a species of bird in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots","{'bird': 'grey-breasted crake', 'alternate_names': 'Laterallus exilis', 'scientific_name': 'Rallinae of family Rallidae, the rails, gallinules, and coots'}",grey-breasted crake,Laterallus exilis,"Rallinae of family Rallidae, the rails, gallinules, and coots"
686,The grey-breasted flycatcher (Lathrotriccus griseipectus) is a species of bird in the family Tyrannidae,"{'bird': 'grey-breasted flycatcher', 'alternate_names': 'Lathrotriccus griseipectus', 'scientific_name': 'Tyrannidae'}",grey-breasted flycatcher,Lathrotriccus griseipectus,Tyrannidae
687,The grey-breasted martin (Progne chalybea) is a large swallow from Central and South America,"{'bird': 'grey-breasted martin', 'alternate_names': 'Progne chalybea', 'scientific_name': 'Progne chalybea'}",grey-breasted martin,Progne chalybea,Progne chalybea
688,The grey-breasted mountain toucan (Andigena hypoglauca) is a Near Threatened species of bird in the toucan family Ramphastidae,"{'bird': 'Grey-breasted mountain toucan', 'alternate_names': ['Andigena hypoglauca'], 'scientific_name': 'Ramphastidae'}",Grey-breasted mountain toucan,['Andigena hypoglauca'],Ramphastidae
689,"The grey-breasted parakeet (Pyrrhura griseipectus) is an Endangered species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots","{'bird': 'Grey-breasted parakeet', 'alternate_names': ['Pyrrhura griseipectus'], 'scientific_name': 'Pyrrhura griseipectus'}",Grey-breasted parakeet,['Pyrrhura griseipectus'],Pyrrhura griseipectus
690,"The grey-breasted partridge (Arborophila orientalis), also known as the white-faced hill partridge, or Horsfield's hill partridge, is a bird species in the family Phasianidae","{'bird': 'grey-breasted partridge', 'alternate_names': ['white-faced hill partridge', ""Horsfield's hill partridge""], 'scientific_name': 'Arborophila orientalis'}",grey-breasted partridge,"['white-faced hill partridge', ""Horsfield's hill partridge""]",Arborophila orientalis
691,The grey-breasted prinia or Franklin's prinia (Prinia hodgsonii) is a wren-warbler belonging to the family of small passerine birds found mainly in warmer southern regions of the Old World,"{'bird': 'Grey-breasted prinia', 'alternate_names': ""Franklin's prinia"", 'scientific_name': 'Prinia hodgsonii'}",Grey-breasted prinia,Franklin's prinia,Prinia hodgsonii
692,"The grey-breasted sabrewing (Campylopterus largipennis) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae","{'bird': 'grey-breasted sabrewing', 'alternate_names': 'Campylopterus largipennis', 'scientific_name': 'Trochilini of subfamily Trochilinae'}",grey-breasted sabrewing,Campylopterus largipennis,Trochilini of subfamily Trochilinae
693,The grey-breasted seedsnipe (Thinocorus orbignyianus) is a species of bird in the family Thinocoridae,"{'bird': 'Grey-breasted Seedsnipe', 'alternate_names': [], 'scientific_name': 'Thinocorus orbignyianus'}",Grey-breasted Seedsnipe,,Thinocorus orbignyianus
694,The grey-breasted spiderhunter (Arachnothera modesta) is a species of bird in the family Nectariniidae,"{'bird': 'Grey-breasted Spiderhunter', 'alternate_names': ['Arachnothera modesta'], 'scientific_name': 'Nectariniidae'}",Grey-breasted Spiderhunter,['Arachnothera modesta'],Nectariniidae
696,The grey-breasted wood wren (Henicorhina leucophrys) is a species of bird in the family Troglodytidae,"{'bird': 'grey-breasted wood wren', 'alternate_names': 'Henicorhina leucophrys', 'scientific_name': 'Troglodytidae'}",grey-breasted wood wren,Henicorhina leucophrys,Troglodytidae
697,The grey-breasted woodpecker (Melanerpes hypopolius) is a species of bird in the family Picidae,"{'bird': 'grey-breasted woodpecker', 'alternate_names': 'Melanerpes hypopolius', 'scientific_name': 'Picidae'}",grey-breasted woodpecker,Melanerpes hypopolius,Picidae
699,The grey-brown white-eye or Pohnpei white-eye (Zosterops ponapensis) is a species of bird in the family Zosteropidae,"{'bird': 'Pohnpei white-eye', 'alternate_names': ['grey-brown white-eye'], 'scientific_name': 'Zosterops ponapensis'}",Pohnpei white-eye,['grey-brown white-eye'],Zosterops ponapensis
700,The grey-capped cicadabird or Melanesian cicadabird (Edolisoma remotum) is a species of bird in the family Campephagidae,"{'bird': 'Grey-capped cicadabird', 'alternate_names': 'Melanesian cicadabird', 'scientific_name': 'Edolisoma remotum', 'family': 'Campephagidae'}",Grey-capped cicadabird,Melanesian cicadabird,Edolisoma remotum
701,"The grey-capped cuckoo (Coccyzus lansbergi) is a species of bird in the tribe Phaenicophaeini, subfamily Cuculinae of the cuckoo family Cuculidae","{'bird': 'Grey-capped cuckoo', 'alternate_names': ['Coccyzus lansbergi'], 'scientific_name': 'Coccyzus lansbergi'}",Grey-capped cuckoo,['Coccyzus lansbergi'],Coccyzus lansbergi
702,"The  grey-capped flycatcher (Myiozetetes granadensis) is a passerine bird, a member of the large tyrant flycatcher family","{'bird': 'grey-capped flycatcher', 'alternate_names': 'Myiozetetes granadensis', 'scientific_name': 'Myiozetetes granadensis'}",grey-capped flycatcher,Myiozetetes granadensis,Myiozetetes granadensis
703,The grey-capped greenfinch or Oriental greenfinch (Chloris sinica) is a small passerine bird in the finch family Fringillidae that breeds in broadleaf and conifer woodlands of the East Palearctic,"{'bird': 'Oriental greenfinch', 'alternate_names': 'grey-capped greenfinch', 'scientific_name': 'Chloris sinica'}",Oriental greenfinch,grey-capped greenfinch,Chloris sinica
704,The grey-capped hemispingus (Kleinothraupis reyi) is a species of bird in the family Thraupidae that is endemic to Venezuela,"{'bird': 'grey-capped hemispingus', 'alternate_names': ['Kleinothraupis reyi'], 'scientific_name': 'Thraupidae'}",grey-capped hemispingus,['Kleinothraupis reyi'],Thraupidae
705,Picoides canicapillusDryobates semicoronatusDendrocopus canicapillus[1],"{'bird': 'Picoides canicapillus', 'alternate_names': ['Dryobates semicoronatus', 'Dendrocopus canicapillus'], 'scientific_name': 'Picoides canicapillus'}",Picoides canicapillus,"['Dryobates semicoronatus', 'Dendrocopus canicapillus']",Picoides canicapillus
706,"The grey-capped social weaver (Pseudonigrita arnaudi) is a sparrow-like liver-colored bird, with a pale grey crown, a dark grey bill, a whitish eye-ring, horn-colored legs, with some black in the wing and a light terminal band in the tail, that builds roofed nests made of straws, breeds in colonies in thorny Acacia trees, and feeds in groups gathering grass seeds and insects","{'bird': 'Grey-capped social weaver', 'alternate_names': ['Pseudonigrita arnaudi'], 'scientific_name': 'Pseudonigrita arnaudi'}",Grey-capped social weaver,['Pseudonigrita arnaudi'],Pseudonigrita arnaudi
707,The grey-capped tyrannulet (Phyllomyias griseocapilla) is a species of bird in the family Tyrannidae,"{'bird': 'grey-capped tyrannulet', 'alternate_names': ['Phyllomyias griseocapilla'], 'scientific_name': 'Phyllomyias griseocapilla'}",grey-capped tyrannulet,['Phyllomyias griseocapilla'],Phyllomyias griseocapilla
708,The grey-capped warbler (Eminia lepida) is a species of bird in the family Cisticolidae,"{'bird': 'grey-capped warbler', 'alternate_names': [], 'scientific_name': 'Eminia lepida'}",grey-capped warbler,,Eminia lepida
709,"The grey-cheeked bulbul (Alophoixus tephrogenys) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'grey-cheeked bulbul', 'alternate_names': ['Alophoixus tephrogenys'], 'scientific_name': 'Pycnonotidae'}",grey-cheeked bulbul,['Alophoixus tephrogenys'],Pycnonotidae
710,The grey-cheeked fulvetta or Morrison's fulvetta (Alcippe morrisonia) is a bird in the family Alcippeidae,"{'bird': 'grey-cheeked fulvetta', 'alternate_names': ""Morrison's fulvetta"", 'scientific_name': 'Alcippe morrisonia'}",grey-cheeked fulvetta,Morrison's fulvetta,Alcippe morrisonia
711,The grey-cheeked green pigeon (Treron griseicauda) is a species of bird in the family Columbidae,"{'bird': 'Treron griseicauda', 'alternate_names': 'grey-cheeked green pigeon', 'scientific_name': 'Treron griseicauda'}",Treron griseicauda,grey-cheeked green pigeon,Treron griseicauda
712,"The grey-cheeked nunlet (Nonnula frontalis) is a species of near-passerine bird in the family Bucconidae, the puffbirds, nunlets, and nunbirds","{'bird': 'Grey-cheeked Nunlet', 'alternate_names': ['Puffbirds', 'Nunlets', 'Nunbirds'], 'scientific_name': 'Nonnula frontalis'}",Grey-cheeked Nunlet,"['Puffbirds', 'Nunlets', 'Nunbirds']",Nonnula frontalis
713,"The grey-cheeked parakeet (Brotogeris pyrrhoptera), less commonly known as fire-winged parakeet, is a Vulnerable species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots","{'bird': 'Grey-cheeked Parakeet', 'alternate_names': 'Fire-winged Parakeet', 'scientific_name': 'Brotogeris pyrrhoptera'}",Grey-cheeked Parakeet,Fire-winged Parakeet,Brotogeris pyrrhoptera
715,The grey-cheeked tit-babbler (Mixornis flavicollis) is a species of bird in the family Timaliidae,"{'bird': 'Grey-cheeked tit-babbler', 'alternate_names': ['Mixornis flavicollis'], 'scientific_name': 'Timaliidae'}",Grey-cheeked tit-babbler,['Mixornis flavicollis'],Timaliidae
719,The grey-chested greenlet (Hylophilus semicinereus) is a species of bird in the family Vireonidae,"{'bird': 'grey-chested greenlet', 'alternate_names': ['Hylophilus semicinereus'], 'scientific_name': 'Hylophilus semicinereus'}",grey-chested greenlet,['Hylophilus semicinereus'],Hylophilus semicinereus
721,The grey-chinned hermit (Phaethornis griseogularis) is a species of hummingbird in the family Trochilidae,"{'bird': 'Grey-chinned Hermit', 'alternateNames': [], 'scientificName': 'Phaethornis griseogularis'}",Grey-chinned Hermit,,
722,The grey-chinned minivet (Pericrocotus solaris) is a species of bird in the family Campephagidae,"{'bird': 'grey-chinned minivet', 'alternate_names': [], 'scientific_name': 'Pericrocotus solaris'}",grey-chinned minivet,,Pericrocotus solaris
723,The grey-chinned sunbird (Anthreptes tephrolaemus) is a species of bird in the family Nectariniidae,"{'bird': 'Grey-chinned sunbird', 'alternate_names': 'None', 'scientific_name': 'Anthreptes tephrolaemus'}",Grey-chinned sunbird,None,Anthreptes tephrolaemus
724,The grey-collared becard (Pachyramphus major) is a species of bird in the family Tityridae,"{'bird': 'Grey-collared Becard', 'alternate_names': ['Pachyramphus major'], 'scientific_name': 'Tityridae'}",Grey-collared Becard,['Pachyramphus major'],Tityridae
725,"The grey-collared oriole (Oriolus forsteni), or Seram oriole, is a species of bird in the family Oriolidae","{'bird': 'grey-collared oriole', 'alternate_names': 'Seram oriole', 'scientific_name': 'Oriolus forsteni'}",grey-collared oriole,Seram oriole,Oriolus forsteni
728,The grey-crested finch (Lophospingus griseocristatus) is a species of bird in the tanager family Thraupidae,"{'bird': 'grey-crested finch', 'alternate_names': 'Lophospingus griseocristatus', 'scientific_name': 'Thraupidae'}",grey-crested finch,Lophospingus griseocristatus,Thraupidae
729,"The gray-crested helmetshrike (Prionops poliolophus) is a species of bird in the Vanga family Vangidae, formerly usually included in the Malaconotidae","{'bird': 'gray-crested helmetshrike', 'alternate_names': 'Prionops poliolophus', 'scientific_name': 'Vanga family Vangidae'}",gray-crested helmetshrike,Prionops poliolophus,Vanga family Vangidae
730,The grey-crowned babbler (Pomatostomus temporalis) is a species of bird in the family Pomatostomidae,"{'bird': 'grey-crowned babbler', 'alternate_names': [], 'scientific_name': 'Pomatostomus temporalis'}",grey-crowned babbler,,Pomatostomus temporalis
731,The grey-crowned crocias (Laniellus langbianis) is a passerine bird in the family Leiothrichidae,"{'bird': 'grey-crowned crocias', 'alternate_names': 'Laniellus langbianis', 'scientific_name': 'Leiothrichidae'}",grey-crowned crocias,Laniellus langbianis,Leiothrichidae
732,The grey-crowned flatbill or grey-crowned flycatcher (Tolmomyias poliocephalus) is a species of bird in the family Tyrannidae,"{'bird': 'grey-crowned flatbill or grey-crowned flycatcher', 'alternate_names': ['grey-crowned flatbill', 'grey-crowned flycatcher'], 'scientific_name': 'Tolmomyias poliocephalus', 'family': 'Tyrannidae'}",grey-crowned flatbill or grey-crowned flycatcher,"['grey-crowned flatbill', 'grey-crowned flycatcher']",Tolmomyias poliocephalus
733,"The grey-crowned mannikin (Lonchura nevermanni), or grey-crowned munia,  is a species of estrildid finch of southern New Guinea","{'bird': 'Grey-crowned mannikin', 'alternate_names': ['Grey-crowned munia'], 'scientific_name': 'Lonchura nevermanni'}",Grey-crowned mannikin,['Grey-crowned munia'],Lonchura nevermanni
734,The grey-crowned prinia (Prinia cinereocapilla) is a species of bird in the family Cisticolidae,"{'bird': 'grey-crowned prinia', 'alternate_names': 'Prinia cinereocapilla', 'scientific_name': 'Cisticolidae'}",grey-crowned prinia,Prinia cinereocapilla,Cisticolidae
735,"The grey-crowned tanager or grey-crowned palm-tanager (Phaenicophilus poliocephalus) is a Near Threatened species of bird in the family Phaenicophilidae, the Hispaniolan tanagers","{'bird': 'Grey-crowned Tanager', 'alternate_names': 'Grey-crowned Palm-Tanager', 'scientific_name': 'Phaenicophilus poliocephalus', 'family': 'Phaenicophilidae', 'status': 'Near Threatened'}",Grey-crowned Tanager,Grey-crowned Palm-Tanager,Phaenicophilus poliocephalus
739,The grey-crowned yellowthroat (Geothlypis poliocephala) is a species of bird in the family Parulidae,"{'bird': 'grey-crowned yellowthroat', 'alternate_names': 'Geothlypis poliocephala', 'scientific_name': 'Parulidae'}",grey-crowned yellowthroat,Geothlypis poliocephala,Parulidae
740,The grey-eared brushfinch or black-faced brushfinch (Atlapetes melanolaemus) is a species of bird in the family Passerellidae,"{'bird': 'brushfinch', 'alternate_names': ['grey-eared brushfinch', 'black-faced brushfinch'], 'scientific_name': 'Atlapetes melanolaemus'}",brushfinch,"['grey-eared brushfinch', 'black-faced brushfinch']",Atlapetes melanolaemus
741,"The grey-eared honeyeater (Lichmera incana), also known as the dark-brown honeyeater, is a passerine bird of the honeyeater family which is found in Vanuatu and New Caledonia in the south-west Pacific","{'bird': 'grey-eared honeyeater', 'alternate_names': 'dark-brown honeyeater', 'scientific_name': 'Lichmera incana'}",grey-eared honeyeater,dark-brown honeyeater,Lichmera incana
742,"The grey-eyed bulbul (Iole propinqua) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'grey-eyed bulbul', 'alternate_names': ['Iole propinqua'], 'scientific_name': 'Pycnonotidae'}",grey-eyed bulbul,['Iole propinqua'],Pycnonotidae
743,The grey-eyed greenlet (Hylophilus amaurocephalus) is a species of bird in the family Vireonidae,"{'bird': 'greenlet', 'alternate_names': ['Hylophilus amaurocephalus'], 'scientific_name': 'Hylophilus amaurocephalus'}",greenlet,['Hylophilus amaurocephalus'],Hylophilus amaurocephalus
744,The grey-faced buzzard (Butastur indicus) is an Asian bird of prey,"{'bird': 'grey-faced buzzard', 'alternate_names': ['Butastur indicus'], 'scientific_name': 'Butastur indicus'}",grey-faced buzzard,['Butastur indicus'],Butastur indicus
745,The grey-faced petrel (Pterodroma gouldi) is a petrel endemic to the North Island of New Zealand,"{'bird': 'grey-faced petrel', 'alternate_names': 'Pterodroma gouldi', 'scientific_name': 'Pterodroma gouldi'}",grey-faced petrel,Pterodroma gouldi,Pterodroma gouldi
746,The grey-faced tit-babbler (Mixornis kelleyi) is a species of bird in the family Timaliidae,"{'bird': 'Grey-faced tit-babbler', 'alternate_names': ['Mixornis kelleyi'], 'scientific_name': 'Timaliidae'}",Grey-faced tit-babbler,['Mixornis kelleyi'],Timaliidae
747,The grey-flanked cinclodes (Cinclodes oustaleti) is a species of bird in the family Furnariidae,"{'bird': 'grey-flanked cinclodes', 'alternate_names': 'Cinclodes oustaleti', 'scientific_name': 'Furnariidae'}",grey-flanked cinclodes,Cinclodes oustaleti,Furnariidae
748,The grey-fronted dove (Leptotila rufaxilla) is a large New World tropical dove,"{'bird': 'grey-fronted dove', 'alternate_names': 'Leptotila rufaxilla', 'scientific_name': 'Leptotila rufaxilla'}",grey-fronted dove,Leptotila rufaxilla,Leptotila rufaxilla
749,The grey-fronted green pigeon (Treron affinis) is a pigeon in the genus Treron,"{'bird': 'grey-fronted green pigeon', 'alternate_names': ['Treron affinis'], 'scientific_name': 'Treron affinis'}",grey-fronted green pigeon,['Treron affinis'],Treron affinis
750,The grey-fronted honeyeater (Ptilotula plumula) is a species of bird in the family Meliphagidae,"{'bird': 'grey-fronted honeyeater', 'alternate_names': 'Ptilotula plumula', 'scientific_name': 'Meliphagidae'}",grey-fronted honeyeater,Ptilotula plumula,Meliphagidae
751,The grey-fronted quail-dove (Geotrygon caniceps) is a species of bird in the family Columbidae,"{'bird': 'grey-fronted quail-dove', 'alternate_names': ['Geotrygon caniceps'], 'scientific_name': 'Columbidae'}",grey-fronted quail-dove,['Geotrygon caniceps'],Columbidae
752,The grey-green fruit dove (Ptilinopus purpuratus) is a species of bird in the family Columbidae,"{'bird': 'Grey-green Fruit Dove', 'alternateNames': ['Ptilinopus purpuratus'], 'scientificName': 'Ptilinopus purpuratus'}",Grey-green Fruit Dove,,
753,The grey-green scrubwren (Aethomyias arfakianus) is a species of bird in the family Acanthizidae,"{'bird': 'scrubwren', 'alternate_names': ['Aethomyias arfakianus'], 'scientific_name': 'Aethomyias arfakianus'}",scrubwren,['Aethomyias arfakianus'],Aethomyias arfakianus
756,The grey-headed babbler (Stachyris poliocephala) is a species of bird in the family Timaliidae,"{'bird': 'grey-headed babbler', 'alternate_names': 'Stachyris poliocephala', 'scientific_name': 'Timaliidae'}",grey-headed babbler,Stachyris poliocephala,Timaliidae
757,"The grey-headed batis (Batis orientalis) is a species of bird in the wattle-eyes family,  Platysteiridae, it was previously classified with the Old World flycatchers in the  family Muscicapidae","{'bird': 'Grey-headed Batis', 'alternate_names': ['Batis orientalis'], 'scientific_name': 'Platysteiridae'}",Grey-headed Batis,['Batis orientalis'],Platysteiridae
758,"The grey-headed bristlebill (Bleda canicapillus) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'grey-headed bristlebill', 'alternate_names': 'Bleda canicapillus', 'scientific_name': 'Pycnonotidae'}",grey-headed bristlebill,Bleda canicapillus,Pycnonotidae
759,The grey-headed broadbill (Smithornis sharpei) is a species of bird in the family Calyptomenidae,"{'bird': 'grey-headed broadbill', 'alternate_names': 'Smithornis sharpei', 'scientific_name': 'Calyptomenidae'}",grey-headed broadbill,Smithornis sharpei,Calyptomenidae
760,"The grey-headed bulbul (Brachypodius priocephalus) is a member of the bulbul family, Pycnonotidae","{'bird': 'grey-headed bulbul', 'alternate_names': ['Brachypodius priocephalus'], 'scientific_name': 'Pycnonotidae'}",grey-headed bulbul,['Brachypodius priocephalus'],Pycnonotidae
761,The grey-headed bullfinch (Pyrrhula erythaca) is a species of finch in the family Fringillidae,"{'bird': 'grey-headed bullfinch', 'alternate_names': ['Pyrrhula erythaca'], 'scientific_name': 'Fringillidae'}",grey-headed bullfinch,['Pyrrhula erythaca'],Fringillidae
762,"The grey-headed bushshrike (Malaconotus blanchoti), colloquially known as the ghostbird,[2] is a species of passerine bird in the family Malaconotidae","{'bird': 'grey-headed bushshrike', 'alternate_names': ['ghostbird'], 'scientific_name': 'Malaconotus blanchoti'}",grey-headed bushshrike,['ghostbird'],Malaconotus blanchoti
764,"The grey-headed chachalaca (Ortalis cinereiceps) is a member of an ancient group of birds of the family Cracidae, which includes chachalacas, guans, and curassows","{'bird': 'grey-headed chachalaca', 'alternate_names': ['chachalacas', 'guans', 'curassows'], 'scientific_name': 'Ortalis cinereiceps'}",grey-headed chachalaca,"['chachalacas', 'guans', 'curassows']",Ortalis cinereiceps
767,The grey-headed dove (Leptotila plumbeiceps) is a large New World dove,"{'bird': 'grey-headed dove', 'alternate_names': ['Leptotila plumbeiceps'], 'scientific_name': 'Leptotila plumbeiceps'}",grey-headed dove,['Leptotila plumbeiceps'],Leptotila plumbeiceps
768,The grey-headed fish eagle (Haliaeetus ichthyaetus) is a fish-eating bird of prey from South East Asia,"{'bird': 'Grey-headed Fish Eagle', 'alternate_names': 'Haliaeetus ichthyaetus', 'scientific_name': 'Haliaeetus ichthyaetus'}",Grey-headed Fish Eagle,Haliaeetus ichthyaetus,Haliaeetus ichthyaetus
769,The grey-headed fruit dove (Ptilinopus hyogastrus) is a species of bird in the family Columbidae,"{'bird': 'Grey-headed fruit dove', 'alternate_names': 'Ptilinopus hyogastrus', 'scientific_name': 'Columbidae'}",Grey-headed fruit dove,Ptilinopus hyogastrus,Columbidae
770,"The grey-headed goshawk (Accipiter poliocephalus) is a lightly built, medium-sized bird of prey in the family Accipitridae","{'bird': 'grey-headed goshawk', 'alternate_names': 'Accipiter poliocephalus', 'scientific_name': 'Accipitridae'}",grey-headed goshawk,Accipiter poliocephalus,Accipitridae
771,"The grey-headed greenbul (Phyllastrephus poliocephalus), or grey-headed yellow-bellied greenbul, is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'Grey-headed Greenbul', 'alternate_names': ['Grey-headed Yellow-bellied Greenbul'], 'scientific_name': 'Phyllastrephus poliocephalus'}",Grey-headed Greenbul,['Grey-headed Yellow-bellied Greenbul'],Phyllastrephus poliocephalus
774,The grey-headed imperial pigeon (Ducula radiata) is a species of bird in the family Columbidae,"{'bird': 'imperial pigeon', 'alternate_names': 'Ducula radiata', 'scientific_name': 'Columbidae'}",imperial pigeon,Ducula radiata,Columbidae
775,"The grey-headed kingfisher (Halcyon leucocephala) is a species of kingfisher that has a wide distribution from the Cape Verde Islands off the north-west coast of Africa to Mauritania, Senegal and Gambia, east to Ethiopia, Somalia and southern Arabia and south to South Africa","{'bird': 'Grey-headed Kingfisher', 'alternate_names': 'Halcyon leucocephala', 'scientific_name': 'Halcyon leucocephala'}",Grey-headed Kingfisher,Halcyon leucocephala,Halcyon leucocephala
777,The gray-headed lovebird or Madagascar lovebird (Agapornis canus) is a small species of parrot of the lovebird genus,"{'bird': 'lovebird', 'alternate_names': ['gray-headed lovebird', 'Madagascar lovebird'], 'scientific_name': 'Agapornis canus'}",lovebird,"['gray-headed lovebird', 'Madagascar lovebird']",Agapornis canus
778,"The grey-headed mannikin or grey-headed munia (Lonchura caniceps) is a species of estrildid finch, native to the Papuan Peninsula","{'bird': 'mannikin or munia', 'alternate_names': ['grey-headed mannikin', 'grey-headed munia'], 'scientific_name': 'Lonchura caniceps'}",mannikin or munia,"['grey-headed mannikin', 'grey-headed munia']",Lonchura caniceps
779,The grey-headed nigrita (Nigrita canicapillus) is a common species of estrildid finch found in Africa,"{'bird': 'Grey-headed Nigrita', 'alternate_names': ['Nigrita canicapillus'], 'scientific_name': 'Nigrita canicapillus'}",Grey-headed Nigrita,['Nigrita canicapillus'],Nigrita canicapillus
780,"The grey-headed oliveback (Delacourella capistrata), also known as the white-cheeked oliveback, is a common species of estrildid finch found in Africa","{'bird': 'grey-headed oliveback', 'alternate_names': ['white-cheeked oliveback'], 'scientific_name': 'Delacourella capistrata'}",grey-headed oliveback,['white-cheeked oliveback'],Delacourella capistrata
781,The grey-headed parakeet (Psittacula finschii) is closely related to the slaty-headed parakeet which together form a super-species,"{'bird': 'Grey-headed parakeet', 'alternate_names': ['Slaty-headed parakeet'], 'scientific_name': 'Psittacula finschii'}",Grey-headed parakeet,['Slaty-headed parakeet'],Psittacula finschii
782,The grey-headed parrotbill (Psittiparus gularis) is a parrotbill in the family Sylviidae and is found in eastern Asia from the Himalayas to Indochina and Hainan,"{'bird': 'Grey-headed Parrotbill', 'alternate_names': 'Psittiparus gularis', 'scientific_name': 'Sylviidae'}",Grey-headed Parrotbill,Psittiparus gularis,Sylviidae
783,The grey-headed piprites (Piprites griseiceps) is a species of bird which traditionally has been placed in the family Tyrannidae,"{'bird': 'Grey-headed piprites', 'alternate_names': ['Piprites griseiceps'], 'scientific_name': 'Piprites griseiceps'}",Grey-headed piprites,['Piprites griseiceps'],Piprites griseiceps
784,The grey-headed robin (Heteromyias cinereifrons) is a species of bird in the family Petroicidae,"{'bird': 'grey-headed robin', 'alternate_names': ['Heteromyias cinereifrons'], 'scientific_name': 'Petroicidae'}",grey-headed robin,['Heteromyias cinereifrons'],Petroicidae
786,The grey-headed spinetail (Cranioleuca semicinerea) is a species of bird in the family Furnariidae,"{'bird': 'grey-headed spinetail', 'alternate_names': 'Cranioleuca semicinerea', 'scientific_name': 'Furnariidae'}",grey-headed spinetail,Cranioleuca semicinerea,Furnariidae
789,The grey-headed tanager (Eucometis penicillata) is a widely distributed species of small Neotropical bird in the tanager family Thraupidae,"{'bird': 'grey-headed tanager', 'alternate_names': [], 'scientific_name': 'Eucometis penicillata'}",grey-headed tanager,,Eucometis penicillata
791,"The grey-headed woodpecker (Picus canus), also known as the grey-faced woodpecker, is a Eurasian member of the woodpecker family, Picidae","{'bird': 'Grey-headed woodpecker', 'alternate_names': 'Grey-faced woodpecker', 'scientific_name': 'Picus canus'}",Grey-headed woodpecker,Grey-faced woodpecker,Picus canus
792,"The grey-hooded attila (Attila rufus) is a species of bird in the family Tyrannidae, the tyrant flycatchers","{'bird': 'Attila rufus', 'alternate_names': 'Grey-hooded Attila', 'scientific_name': 'Tyrannidae'}",Attila rufus,Grey-hooded Attila,Tyrannidae
793,The grey-hooded bush tanager (Cnemoscopus rubrirostris) is a species of South American bird in the tanager family Thraupidae,"{'bird': 'grey-hooded bush tanager', 'alternate_names': 'Cnemoscopus rubrirostris', 'scientific_name': 'Thraupidae'}",grey-hooded bush tanager,Cnemoscopus rubrirostris,Thraupidae
794,The grey-hooded flycatcher (Mionectes rufiventris) is a species of bird in the family Tyrannidae,"{'bird': 'Grey-hooded Flycatcher', 'alternateNames': ['Mionectes rufiventris'], 'scientificName': 'Tyrannidae'}",Grey-hooded Flycatcher,,
798,The grey-hooded sierra finch (Phrygilus gayi) is a species of bird in the family Thraupidae,"{'bird': 'grey-hooded sierra finch', 'alternate_names': 'Phrygilus gayi', 'scientific_name': 'Thraupidae'}",grey-hooded sierra finch,Phrygilus gayi,Thraupidae
801,"The grey-hooded white-eye (Heleia pinaiae), also known as the grey-hooded ibon, is a species of bird in the family Zosteropidae","{'bird': 'grey-hooded white-eye', 'alternate_names': 'grey-hooded ibon', 'scientific_name': 'Heleia pinaiae'}",grey-hooded white-eye,grey-hooded ibon,Heleia pinaiae
802,The greyish eagle-owl or vermiculated eagle-owl (Bubo cinerascens) is a rather large owl of the northern part of sub-Saharan Africa,"{'bird': 'eagle-owl', 'alternate_names': ['greyish eagle-owl', 'vermiculated eagle-owl'], 'scientific_name': 'Bubo cinerascens'}",eagle-owl,"['greyish eagle-owl', 'vermiculated eagle-owl']",Bubo cinerascens
803,The greyish miner (Geositta maritima) is a species of bird in the family Furnariidae,"{'bird': 'greyish miner', 'alternate_names': 'Geositta maritima', 'scientific_name': 'Furnariidae'}",greyish miner,Geositta maritima,Furnariidae
804,The greyish mourner (Rhytipterna simplex) is a species of bird in the family Tyrannidae,"{'bird': 'Rhytipterna simplex', 'alternate_names': 'greyish mourner', 'scientific_name': 'Rhytipterna simplex'}",Rhytipterna simplex,greyish mourner,Rhytipterna simplex
805,The greyish piculet (Picumnus granadensis) is a species of bird in subfamily Picumninae of the woodpecker family Picidae,"{'bird': 'greyish piculet', 'alternate_names': 'Picumnus granadensis', 'scientific_name': 'Picumninae of the woodpecker family Picidae'}",greyish piculet,Picumnus granadensis,Picumninae of the woodpecker family Picidae
806,Greyish saltator has been split into three species:,"{'bird': 'Greyish Saltator', 'alternate_names': [], 'scientific_name': 'Saltator coerulescens'}",Greyish Saltator,,Saltator coerulescens
807,The greylag goose or graylag goose (Anser anser) is a species of large goose in the waterfowl family Anatidae and the type species of the genus Anser,"{'bird': 'greylag goose or graylag goose', 'alternate_names': ['Anser anser'], 'scientific_name': 'Anser anser'}",greylag goose or graylag goose,['Anser anser'],Anser anser
